Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Longitude (X),Latitude (Y),Select Bibliography
652.00,Nemausus,Nîmes,Gallia Narbonensis,France,3,15 C2,-52,NULL,4.360864,43.83459,Bedon 2001; Bedon et al 1988; Benario 1981; Boatwright 2000; Bomgardner 2000; MacMullen 2000; PECS; Quinn and Wilson 2013; Rivet 1988; Russell 1958; Salmon 1969; Sear 2006; Wilson 2011; Woloch 1983.
379.00,Nicomedia,Ismit,Bithynia et Pontus,Turkey,2,52 F3,-264,NULL,29.919877,40.760677,BNP; Boatwright 2000; Cohen 1995; Jones 1937; Nelis-Clément and Roddaz 2008; PECS; Russell 1958; Salmon 1969; Sear 2006.
65.00,Nicopolis (Achaea),Palioprevesa,Achaea,Greece,3,54 C3,-30,NULL,20.733395,39.026505,BNP; DGRG; Jones 1937; PECS; Russell 1958; Sear 2006.
1126.00,Patara,Kelemi,Lycia et Pamphylia,Turkey,3,65 B5,-500,NULL,29.319372,36.260957,Cohen 1995; Jones 1937; McEvedy 2011; PECS; Sear 2006.
1128.00,Perge,Aksu,Lycia et Pamphylia,Turkey,2,65 E4,-700,NULL,30.854072,36.960317,Hansen and Nielsen 2004; Hanson 2011; McEvedy 2011; PECS; Russell 1958; Sear 2006.
240.00,Petra,Petra,Arabia,Jordan,2,71 A5,-8,NULL,35.442275,30.328981,Jones 1937; McEvedy 2011; PECS; Sear 2006; Wilson 2011.
1385.00,Philippopolis (Thracia),Plovdiv,Thracia,Bulgaria,2,22 B6,-342,NULL,24.750913,42.146652,BNP; Cohen 1995; DGRG; Hansen and Nielsen 2004; Jones 1937; PECS; Sear 2006; Wilkes 2003b.
1235.00,Poetovio,Ptuj,Noricum,Slovenia,3,20 C3,-27,NULL,15.869928,46.419789,BNP; DGRG; PECS; Salmon 1969; Wilkes 2003b; Wilson 2011.
497.00,Porolissum,Moigrad,Dacia,Romania,3,21 F2,107,NULL,23.126667,47.230278,BNP; Golvin 1988; PECS; Wilkes 2003b.
499.00,Romula,Re?ca,Dacia,Romania,2,22 B4,107,245,24.39625,44.174152,BNP; PECS; Salmon 1969; Wilkes 2003b.
547.00,Salona,Solin,Dalmatia,Croatia,2,20 D6,-78,NULL,16.48323,43.539485,BNP; Bomgardner 2000; Brunt 1971; Cornell and Mathews 1982; MacMullen 2000; McEvedy 2011; PECS; Quinn and Wilson 2013; Russell 1958; Salmon 1969; Sear 2006; Wilkes 2003a; Wilkes 2003b; Wilson 2011.
312.00,Sardis,Sart,Asia,Turkey,2,56 G5,-700,NULL,28.040286,38.488315,Cohen 1995; Hanson 2011; Jones 1937; McEvedy 2011; PECS; Sear 2006.
500.00,Sarmizegetusa,Hunedoara,Dacia,Romania,3,21 E4,108,NULL,22.809406,45.509997,BNP; Boatwright 2000; DGRG; PECS; Salmon 1969; Wilkes 2003b; Wilson 2011.
1282.00,Savaria,Szombathely,Pannonia Superior,Hungary,3,20 D2,43,NULL,16.617369,47.231643,McEvedy 2011; PECS; Quinn and Wilson 2013; Salmon 1969; Sear 2006; Wilkes 2003b; Wilson 2011.
224.00,Segusio,Susa,Alpes Cottiae,Italy,4 or 5,17 I3,-100,NULL,7.048414,45.138485,Beloch 1880; de Ligt 2012; DGRG; Golvin 1988; PECS; Woloch 1983.
1367.00,Sepphoris,Saffuriyeh,Syria Palestina,Israel,3,69 B4,-323,NULL,35.279708,32.75354,Broshi 1979; McEvedy 2011; PECS; Sear 2006.
1320.00,Syracusae,Syracuse,Silicia,Italy,2,47 G4,-733,NULL,15.28444,37.066484,Beloch 1886; Benario 1981; Brunt 1971; Cornell and Mathews 1982; Golvin 1988; Hansen 2006; Hansen and Nielsen 2004; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Salmon 1969; Sear 2006; Woloch 1983.
731.00,Tarraco,Tarragona,Hispania Tarraconensis,Spain,1,25 G4,-218,NULL,1.25763,41.117936,Benario 1981; Boatwright 2000; Brunt 1971; Carreras Monfort 1995-1996; Cornell and Mathews 1982; Golvin 1988; Humphrey 1986; MacMullen 2000; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Quinn and Wilson 2013; Russell 1958; Salmon 1969; Sear 2006; Woloch 1983.
463.00,Tarsus,Tarsus,Cilicia et Cyprus,Turkey,2,66 F3,-600,NULL,34.892717,36.917425,BNP; Cohen 1995; DGRG; Jones 1937; PECS.
1162.00,Thessalonica,Thessaloniki,Macedonia,Greece,1,50 C3,-316,NULL,22.94554,40.637747,Cohen 1995; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Russell 1958; Salmon 1969; Sear 2006; Wilkes 2003b; Wilson 2011.
1368.00,Tiberias,Tabariah,Syria Palestina,Israel,3,69 C4,20,NULL,35.544028,32.776226,BNP; Broshi 1979; Burnham and Wacher 1990; DGRG; Jones 1937; PECS.
1202.00,Tingis,Tangier,Mauretania Tingitana,Morocco,2,28 C2,-100,NULL,-5.810419,35.787168,Brunt 1971; Cornell and Mathews 1982; MacMullen 2000; McEvedy 2011; PECS; Salmon 1969; Wilson 2011; Woloch 1983.
1214.00,Tomis,Constanta,Moesia Inferior,Romania,3,22 F4,-600,NULL,28.638242,44.173096,Hansen and Nielsen 2004; McEvedy 2011; PECS; Sear 2006; Wilkes 2003b.
1347.00,Tyrus,Tyre,Syria,Lebanon,2,69 B3,-800,NULL,35.194564,33.271637,Beloch 1886; BNP; Cohen 2006; DGRG; Jones 1937; Nelis-Clément and Roddaz 2008; PECS; Russell 1958; Salmon 1969.
217.00,Utica,Utique,Africa Proconsularis,Tunisia,3,32 F2,-400,NULL,10.038,37.0358,BNP; Boatwright 2000; Bomgardner 2000; Brunt 1971; Cornell and Mathews 1982; DGRG; Golvin 1988; Lepelley 1979-1981; MacMullen 2000; PECS; Russell 1958; Salmon 1969; Sear 2006; Wilson 2011.
1227.00,Viminacium (1),Kostolac,Moesia Superior,Serbia,2,21 D5,60,NULL,21.216122,44.736776,McEvedy 2011; PECS; Salmon 1969; Wilkes 2003b; Wilson 2011.
1237.00,Virunum,Zollfeld,Noricum,Austria,2,20 B3,41,NULL,14.366944,46.69775,Golvin 1988; McEvedy 2011; PECS; Quinn and Wilson 2013; Salmon 1969; Sear 2006; Wilkes 2003b.
1203.00,Volubilis,Oualili,Mauretania Tingitana,Morocco,3,28 C5,-100,NULL,-5.554507,34.073396,BNP; DGRG; PECS; Quinn and Wilson 2013; Russell 1958; Salmon 1969; Wilson 2011; Woloch 1983.
992.00,Roma,Rome,Italia (VII Etruria),Italy,1,43 B2,-700,NULL,12.485098,41.892777,Beloch 1886; Benario 1981; de Ligt 2012; Golvin 1988; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Salmon 1969; Salmon 1969; Sear 2006; Wilson 2011; Woloch 1983.
1022.00,Ravenna,Ravenna,Italia (VIII Aemilia),Italy,3,40 C4,-400,NULL,12.204444,44.416667,Beloch 1880; BNP; de Ligt 2012; McEvedy 2011; PECS; Quinn and Wilson 2013; Woloch 1983.
1072.00,Mediolanum (Italia (XI Transpadana)),Milan,Italia (XI Transpadana),Italy,1,39 E3,-89,NULL,9.188141,45.463689,Beloch 1880; Beloch 1886; Benario 1981; de Ligt 2012; Golvin 1988; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Salmon 1969; Sear 2006; Wilson 2011; Woloch 1983.
607.00,Caesarodunum,Tours,Gallia Lugdunensis,France,3,14 F1,-27,NULL,0.68666,47.395241,Bedon 2001; Bedon et al 1988; Benario 1981; MacMullen 2000; McEvedy 2011; PECS; Russell 1958; Wilson 2011.
621.00,Lutetia,Paris,Gallia Lugdunensis,France,4 or 5,11 C4,-27,NULL,2.351107,48.856515,Bedon 2001; Bedon et al 1988; Benario 1981; Golvin 1988; MacMullen 2000; McEvedy 2011; PECS; Rivet 1988; Russell 1958; Sear 2006; Wilson 2011; Woloch 1983.
571.00,Lugdunum Convenarum,S. Bertrand de Comminges,Gallia Aquitania,France,3,25 F2,-43,NULL,0.573699,43.02753,Golvin 1988; MacMullen 2000; PECS; Salmon 1969; Sear 2006; Woloch 1983.
570.00,Limonum,Poitiers,Gallia Aquitania,France,3,14 F2,-27,NULL,0.344832,46.580343,Bedon 2001; Bedon et al 1988; Benario 1981; BNP; DGRG; Golvin 1988; PECS; Russell 1958.
